ro;komponen;kegiatan;mak;detail;modal;week;01-Jan;02-Feb;03-Mar;04-Apr;05-May;06-Jun;07-Jul;08-Aug;09-Sep;10-Oct;11-Nov;12-Dec
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;4;;;;;;;;;;;;341000
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;1547000;;;;;;;;;;1547000
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;1547000;1547000;1547000;;1547000;1547000;;3094000;3094000;1547000
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;1547000;1547000;1547000;1547000;1547000;1547000;;3094000;3094000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;1547000;;;1547000;;;1547000;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521213 - Belanja Honor Output Kegiatan;Honot Tim Pelaksana Workshop;RM;1;;;;;;;;;;;;1300000
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521213 - Belanja Honor Output Kegiatan;Honot Tim Pelaksana Workshop;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521213 - Belanja Honor Output Kegiatan;Honot Tim Pelaksana Workshop;RM;3;;;;;1300000;;;;;1300000;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;521213 - Belanja Honor Output Kegiatan;Honot Tim Pelaksana Workshop;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 2 OR;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 2 OR;RM;2;;;;6000000;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 2 OR;RM;3;;;;;;;;;;;;
